epsilon, pop_size, DG, DG Fac, DG Runs, DG PSO, Single, Single Fac, Single Runs, Single PSO, ODG, ODG Fac, ODG Runs, ODG PSO, Tree, Tree fac, Tree Runs, Tree PSO, Tree2, Tree2 fac, Tree2 Runs, Tree2 PSO, PSO
0.001,10,3162403533,2,50,9.06,552191175.9,1000,18,7.447525621,1197452490,50,50,9.2912,420866724.6,1000,18,8.336535792,509417627.5,500,35,8.021974307,36380436328
0.001,10,10426684138,2,50,10.67,595973488.7,1000,18,7.551652326,1347508419,50,50,8.8784,723327596.5,1000,18,8.239740101,784017600.4,500,35,7.963883254,36815821769
0.001,10,2674855237,2,50,9.09,505432852.6,1000,18,7.619225078,1196301141,50,50,9.1048,556175425.5,1000,18,8.37452102,749196033.2,500,35,7.998760424,37246650230
0.001,10,1766198737,2,50,11.01,683527945,1000,18,7.496903601,1348560572,50,50,9.4632,761138623,1000,18,8.332815016,675575631.1,500,35,7.98467433,36701946611
0.001,10,3902784381,2,50,11.07,572093782.2,1000,18,7.501452294,1570282471,50,50,9.3796,513408794.5,1000,18,8.340201033,552201331,500,35,7.945684021,35899957351
0.001,10,5191374839,2,50,8.83,743225819.9,1000,18,7.480133721,944053590.3,50,50,9.2116,480563629.2,1000,18,8.286555229,519364673.7,500,35,7.935542033,36834358314
0.001,10,3487749676,2,50,10.13,469616664.4,1000,18,7.654792569,1613469709,50,50,9.2108,647714339.2,1000,18,8.317265508,555183560.4,500,35,7.993069642,40668310801
0.001,10,4014000468,2,50,10.53,408924616,1000,18,7.717158985,742469860.4,50,50,9.36,373108875.8,1000,18,8.344143944,358183906,500,35,8.014874915,37914175879
0.001,10,1768280856,2,50,10.38,677556547.5,1000,18,7.556529841,1113345216,50,50,9.1224,596994408.7,1000,18,8.377630921,737255503.2,500,35,7.953515889,32810620973
0.001,10,3493341884,2,50,10.13,678545553.4,1000,18,7.580533786,1021945495,50,50,8.482,597973593.7,1000,18,8.29821736,690486961.7,500,35,7.920047329,36072752017
0.001,10,3619929750,2,50,10.41,460660840.2,1000,18,7.645530772,765351163.8,50,50,9.622,519369722,1000,18,8.364302771,597965162.4,500,35,7.932443092,39202689824
0.001,10,2570918105,2,50,10.39,494488485.4,1000,18,7.682523154,814643797.1,50,50,9.2128,510412939.5,1000,18,8.315432887,512398491.6,500,35,8.055949966,35316406939
0.001,10,2104859031,2,50,10.28,427829125.2,1000,18,7.657368335,1118540624,50,50,8.936,706413557.6,1000,18,8.314655412,594979301.6,500,35,7.919990985,36148695933
0.001,10,1280739633,2,50,9.42,448718894.3,1000,18,7.672713323,942794359.1,50,50,9.5248,494489472.8,1000,18,8.310823569,454694609.7,500,35,7.969405003,35567938641
0.001,10,2674280084,2,50,10.12,779039551.1,1000,18,7.577464789,1067340607,50,50,9.0216,616882306.4,1000,18,8.298106292,607915691.2,500,35,8.076233942,39203666511
0.001,10,2316892086,2,50,8.74,480558786.6,1000,18,7.640982079,1071489274,50,50,8.7284,501454113.2,1000,18,8.345976565,450714881,500,35,7.942979491,35943864497
0.001,10,3051213730,2,50,10.9,557171779.8,1000,18,7.505672165,896705402.9,50,50,9.1924,583039904.4,1000,18,8.285444549,551202189.8,500,35,8.035835024,35260762028
0.001,10,2668595061,2,50,10.46,781031575.1,1000,18,7.550117828,808282368.3,50,50,9.596,635776332.4,1000,18,8.336757927,748202489.7,500,35,7.999492901,31273480213
0.001,10,2700252305,2,50,10.62,721331575.2,1000,18,7.57516304,769363529.6,50,50,9.2292,701443346.3,1000,18,8.307047259,566127402.5,500,35,8.059330629,38420523031
0.001,10,3213835278,2,50,9.9,431807759,1000,18,7.632268318,847993582.1,50,50,9.3624,336299400.2,1000,18,8.282723385,222870469.2,500,35,7.965686275,38970501291
0.001,10,3499415061,2,50,9.75,789980516.3,1000,18,7.556858662,1104456404,50,50,9.6724,666619871.5,1000,18,8.3934581,547223819.1,500,35,8.013071895,35723946520
0.001,10,5396200516,2,50,9.99,796948381.4,1000,18,7.531484628,757649150.8,50,50,9.8108,548219161.2,1000,18,8.338868218,512399485.1,500,35,8.048963263,33090000425
0.001,10,7467758288,2,50,10.6,475578998.3,1000,18,7.570285526,1228885680,50,50,9.5608,421883664.6,1000,18,8.331759871,507443584.2,500,35,7.986928105,31465343213
0.001,10,10930272775,2,50,10.16,588013063.1,1000,18,7.545733545,1575541402,50,50,8.3264,382084326.4,1000,18,8.330871328,429821315.5,500,35,8.047329277,35776205245
0.001,10,5000921326,2,50,10.54,748192495.9,1000,18,7.630624212,957832985.5,50,50,8.6376,519395959.6,1000,18,8.314044538,475587497.5,500,35,7.877112914,38831070661
epsilon, pop_size, DG, DG Fac, DG Runs, DG PSO, ODG, ODG Fac, ODG Runs, ODG PSO
0.001,10,1647077333.543657,2,50,10.18,644002228.6745021,50,50,9.764
0.001,10,3756448878.9376016,2,50,11.02,1875946250.1074598,50,50,9.162
0.001,10,3051056814.104476,2,50,11.3,1947334124.922846,50,50,8.8148
0.001,10,2557748998.769074,2,50,9.56,1462625821.0714257,50,50,9.1252
0.001,10,4494736403.851247,2,50,9.49,1126999707.2653267,50,50,9.1688
0.001,10,1696521418.132242,2,50,10.27,556358473.5446072,50,50,9.852
0.001,10,1787146445.3706515,2,50,10.51,1752974707.0353541,50,50,9.3092
0.001,10,8434813172.284224,2,50,8.93,1188147546.6836004,50,50,8.5048
0.001,10,1920124309.3125157,2,50,10.46,717551159.1832145,50,50,8.982
0.001,10,5781015097.535397,2,50,10.04,671793621.6263179,50,50,9.8684
0.001,10,8212086274.226651,2,50,9.79,1386655959.9766295,50,50,9.36
0.001,10,2365505113.491347,2,50,10.28,575481896.571778,50,50,9.8624
0.001,10,2125351588.7342024,2,50,10.41,867991366.516288,50,50,9.4384
0.001,10,4511541436.768989,2,50,9.43,915063143.4207191,50,50,9.208
0.001,10,6749011949.668352,2,50,10.38,961368436.0672022,50,50,9.2308
0.001,10,6382396989.171528,2,50,10.01,1513161976.4691665,50,50,9.5144
0.001,10,1780933924.4943728,2,50,9.6,1072950063.2456988,50,50,9.3448
0.001,10,1338059370.9125295,2,50,10.43,1311872155.4572062,50,50,8.4072
0.001,10,1729010996.7330084,2,50,11.09,1418800410.4935005,50,50,9.4128
0.001,10,2149754025.567943,2,50,10.99,1238757622.9443364,50,50,9.4128
0.001,10,2962217911.7418685,2,50,10.58,1772444014.9642398,50,50,9.4776
0.001,10,3397394468.476574,2,50,8.15,1406006890.7073362,50,50,9.0052
0.001,10,2028958887.7225947,2,50,9.45,1076930372.4367034,50,50,8.6424
0.001,10,3522411556.507693,2,50,10.48,1304002231.0971782,50,50,9.5996
0.001,10,4546753719.230983,2,50,10.33,1700099934.9923756,50,50,9.1612
epsilon, pop_size, DG, DG Fac, DG Runs, DG PSO, ODG, ODG Fac, ODG Runs, ODG PSO
0.001,10,5327657053.111864,951,19,6.859469240048251,1067330219.3355187,1000,18,7.65060773480663
0.001,10,7024681337.308753,951,19,6.754084877727821,1520698318.7551782,1000,18,7.566132596685083
0.001,10,5590140712.297591,951,19,6.732591292904924,2349265795.711538,1000,18,7.222707182320442
0.001,10,9210371932.06594,951,19,6.711426691523194,1492786486.4979627,1000,18,7.508066298342541
0.001,10,4907340704.160721,951,19,6.863910516504003,1248989308.9355352,1000,18,7.602265193370166
0.001,10,11222852158.385674,951,19,6.698212523302994,607604407.3480545,1000,18,7.611602209944752
0.001,10,8934328560.222961,951,19,6.703750411229302,1951077302.1637115,1000,18,7.408397790055249
0.001,10,6187621644.152079,951,19,6.674361223818401,1087419735.4890785,1000,18,7.56060773480663
0.001,10,8990094571.906727,951,19,6.6976642175677155,1167362329.5965445,1000,18,7.529116022099448
0.001,10,6712541314.202307,951,19,6.640092115363527,699050471.319565,1000,18,7.636243093922652
0.001,10,9909603040.528753,951,19,6.729356289066784,epsilon, pop_size, DG, DG Fac, DG Runs, DG PSO, ODG, ODG Fac, ODG Runs, ODG PSO
0.001,10,9024283483.8443,951,19,6.568593047483277,1472264121.9004326,1000,18,7.497569060773481
0.001,10,10386718621.975195,951,19,6.663559600833425,1699193950.873455,1000,18,7.49646408839779
0.001,10,12101461118.516912,951,19,6.612621998026099,1000442259.204829,1000,18,7.615027624309392
0.001,10,11074794365.00555,951,19,6.626384471981577,1192307703.29368,1000,18,7.549889502762431
0.001,10,9135235705.93283,951,19,6.799813576050005,1629714596.268185,1000,18,7.439171270718232
0.001,10,7757917139.752392,951,19,6.800416712358811,652597050.4465804,1000,18,7.5834254143646405
0.001,10,6661477025.612265,951,19,6.734071718390174,1050575083.5914316,1000,18,7.579723756906077
0.001,10,6123680006.97737,951,19,6.680721570347626,1191034596.4983652,1000,18,7.520497237569061
0.001,10,4506526277.738706,951,19,6.818236648755346,1374064450.7863095,1000,18,7.5352486187845304
0.001,10,10248420805.006687,951,19,6.648207040245641,1383169203.7583702,1000,18,7.487348066298343
0.001,10,13542208294.035091,951,19,6.522041890558175,560710474.1983386,1000,18,7.602486187845304
0.001,10,4232847144.7316337,951,19,6.794933655006031,705019958.128761,1000,18,7.506740331491713
0.001,10,6218983688.753135,951,19,6.977409803706546,1125082435.5997965,1000,18,7.56414364640884
0.001,10,11163232056.512026,951,19,6.672716306612567,1075222562.1071432,1000,18,7.538011049723757
0.001,10,4855091966.329546,951,19,6.782925759403444,1276558947.743273,1000,18,7.467679558011049
0.001,10,8143472404.854666,951,19,6.646945937054501,1095939914.086845,1000,18,7.504861878453038
0.001,10,6099467985.532625,951,19,6.704901853273385,