Pop, PSO,FEA_ITER, ODG
50, 10, , 
 , , 0, 7497643912.01589
 , , 1, 7497643912.01589
 , , 2, 7497643912.01589
 , , 3, 7497643912.01589
 , , 4, 7497643912.01589
 , , 5, 7497643912.01589
 , , 6, 7497643912.01589
 , , 7, 7497643912.01589
 , , 8, 7497643912.01589
 , , 9, 7497643912.01589
 , , 10, 7497643912.01589
 , , 11, 7497643912.01589
 , , 12, 7497643912.01589
 , , 13, 7497643912.01589
 , , 14, 7497643912.01589
 , , 15, 7497643912.01589
 , , 16, 7497643912.01589
 , , 17, 7497643912.01589
 , , 18, 7497643912.01589
 , , 19, 7497643912.01589
 , , 20, 7497643912.01589
 , , 21, 7497643912.01589
 , , 22, 7497643912.01589
 , , 23, 7497643912.01589
 , , 24, 7497643912.01589
50, 15, , 
 , , 0, 7497643912.01589
 , , 1, 7497643912.01589
 , , 2, 7497643912.01589
 , , 3, 7497643912.01589
 , , 4, 7497643912.01589
 , , 5, 7497643912.01589
 , , 6, 7497643912.01589
 , , 7, 7497643912.01589
 , , 8, 7497643912.01589
 , , 9, 7497643912.01589
 , , 10, 7497643912.01589
 , , 11, 7497643912.01589
 , , 12, 7497643912.01589
 , , 13, 7497643912.01589
 , , 14, 7497643912.01589
 , , 15, 7497643912.01589
 , , 16, 7497643912.01589
 , , 17, 7497643912.01589
 , , 18, 7497643912.01589
 , , 19, 7497643912.01589
 , , 20, 7497643912.01589
 , , 21, 7497643912.01589
 , , 22, 7497643912.01589
 , , 23, 7497643912.01589
 , , 24, 7497643912.01589
50, 20, , 
 , , 0, 7497643912.01589
 , , 1, 7497643912.01589
 , , 2, 7497643912.01589
 , , 3, 7497643912.01589
 , , 4, 7497643912.01589
 , , 5, 7497643912.01589
 , , 6, 7497643912.01589
 , , 7, 7497643912.01589
 , , 8, 7497643912.01589
 , , 9, 7497643912.01589
 , , 10, 7497643912.01589
 , , 11, 7497643912.01589
 , , 12, 7497643912.01589
 , , 13, 7497643912.01589
 , , 14, 7497643912.01589
 , , 15, 7497643912.01589
 , , 16, 7497643912.01589
 , , 17, 7497643912.01589
 , , 18, 7497643912.01589
 , , 19, 7497643912.01589
 , , 20, 7497643912.01589
 , , 21, 7497643912.01589
 , , 22, 7497643912.01589
 , , 23, 7497643912.01589
 , , 24, 7497643912.01589
100, 10, , 
 , , 0, 7497643912.01589
 , , 1, 7497643912.01589
 , , 2, 7497643912.01589
 , , 3, 7497643912.01589
 , , 4, 7497643912.01589
 , , 5, 7497643912.01589
 , , 6, 7497643912.01589
 , , 7, 7497643912.01589
 , , 8, 7497643912.01589
 , , 9, 7497643912.01589
 , , 10, 7497643912.01589
 , , 11, 7497643912.01589
 , , 12, 7497643912.01589
 , , 13, 7497643912.01589
 , , 14, 7497643912.01589
 , , 15, 7497643912.01589
 , , 16, 7497643912.01589
 , , 17, 7497643912.01589
 , , 18, 7497643912.01589
 , , 19, 7497643912.01589
 , , 20, 7497643912.01589
 , , 21, 7497643912.01589
 , , 22, 7497643912.01589
 , , 23, 7497643912.01589
 , , 24, 7497643912.01589
100, 15, , 
 , , 0, 7497643912.01589
 , , 1, 7497643912.01589
 , , 2, 7497643912.01589
 , , 3, 7497643912.01589
 , , 4, 7497643912.01589
 , , 5, 7497643912.01589
 , , 6, 7497643912.01589
 , , 7, 7497643912.01589
 , , 8, 7497643912.01589
 , , 9, 7497643912.01589
 , , 10, 7497643912.01589
 , , 11, 7497643912.01589
 , , 12, 7497643912.01589
 , , 13, 7497643912.01589
 , , 14, 7497643912.01589
 , , 15, 7497643912.01589
 , , 16, 7497643912.01589
 , , 17, 7497643912.01589
 , , 18, 7497643912.01589
 , , 19, 7497643912.01589
 , , 20, 7497643912.01589
 , , 21, 7497643912.01589
 , , 22, 7497643912.01589
 , , 23, 7497643912.01589
 , , 24, 7497643912.01589
100, 20, , 
 , , 0, 7497643912.01589
 , , 1, 7497643912.01589
 , , 2, 7497643912.01589
 , , 3, 7497643912.01589
 , , 4, 7497643912.01589
 , , 5, 7497643912.01589
 , , 6, 7497643912.01589
 , , 7, 7497643912.01589
 , , 8, 7497643912.01589
 , , 9, 7497643912.01589
 , , 10, 7497643912.01589
 , , 11, 7497643912.01589
 , , 12, 7497643912.01589
 , , 13, 7497643912.01589
 , , 14, 7497643912.01589
 , , 15, 7497643912.01589
 , , 16, 7497643912.01589
 , , 17, 7497643912.01589
 , , 18, 7497643912.01589
 , , 19, 7497643912.01589
 , , 20, 7497643912.01589
 , , 21, 7497643912.01589
 , , 22, 7497643912.01589
 , , 23, 7497643912.01589
 , , 24, 7497643912.01589
300, 10, , 
 , , 0, 7497643912.01589
 , , 1, 7497643912.01589
 , , 2, 7497643912.01589
 , , 3, 7497643912.01589
 , , 4, 7497643912.01589
 , , 5, 7497643912.01589
 , , 6, 7497643912.01589
 , , 7, 7497643912.01589
 , , 8, 7497643912.01589
 , , 9, 7497643912.01589
 , , 10, 7497643912.01589
 , , 11, 7497643912.01589
 , , 12, 7497643912.01589
 , , 13, 7497643912.01589
 , , 14, 7497643912.01589
 , , 15, 7497643912.01589
 , , 16, 7497643912.01589
 , , 17, 7497643912.01589
 , , 18, 7497643912.01589
 , , 19, 7497643912.01589
 , , 20, 7497643912.01589
 , , 21, 7497643912.01589
 , , 22, 7497643912.01589
 , , 23, 7497643912.01589
 , , 24, 7497643912.01589
300, 15, , 
 , , 0, 7497643912.01589
 , , 1, 7497643912.01589
 , , 2, 7497643912.01589
 , , 3, 7497643912.01589
 , , 4, 7497643912.01589
 , , 5, 7497643912.01589
 , , 6, 7497643912.01589
 , , 7, 7497643912.01589
 , , 8, 7497643912.01589
 , , 9, 7497643912.01589
 , , 10, 7497643912.01589
 , , 11, 7497643912.01589
 , , 12, 7497643912.01589
 , , 13, 7497643912.01589
 , , 14, 7497643912.01589
 , , 15, 7497643912.01589
 , , 16, 7497643912.01589
 , , 17, 7497643912.01589
 , , 18, 7497643912.01589
 , , 19, 7497643912.01589
 , , 20, 7497643912.01589
 , , 21, 7497643912.01589
 , , 22, 7497643912.01589
 , , 23, 7497643912.01589
 , , 24, 7497643912.01589
300, 20, , 
 , , 0, 7497643912.01589
 , , 1, 7497643912.01589
 , , 2, 7497643912.01589
 , , 3, 7497643912.01589
 , , 4, 7497643912.01589
 , , 5, 7497643912.01589
 , , 6, 7497643912.01589
 , , 7, 7497643912.01589
 , , 8, 7497643912.01589
 , , 9, 7497643912.01589
 , , 10, 7497643912.01589
 , , 11, 7497643912.01589
 , , 12, 7497643912.01589
 , , 13, 7497643912.01589
 , , 14, 7497643912.01589
 , , 15, 7497643912.01589
 , , 16, 7497643912.01589
 , , 17, 7497643912.01589
 , , 18, 7497643912.01589
 , , 19, 7497643912.01589
 , , 20, 7497643912.01589
 , , 21, 7497643912.01589
 , , 22, 7497643912.01589
 , , 23, 7497643912.01589
 , , 24, 7497643912.01589
500, 10, , 
 , , 0, 7497643912.01589
 , , 1, 7497643912.01589
 , , 2, 7497643912.01589
 , , 3, 7497643912.01589
 , , 4, 7497643912.01589
 , , 5, 7497643912.01589
 , , 6, 7497643912.01589
 , , 7, 7497643912.01589
 , , 8, 7497643912.01589
 , , 9, 7497643912.01589
 , , 10, 7497643912.01589
 , , 11, 7497643912.01589
 , , 12, 7497643912.01589
 , , 13, 7497643912.01589
 , , 14, 7497643912.01589
 , , 15, 7497643912.01589
 , , 16, 7497643912.01589
 , , 17, 7497643912.01589
 , , 18, 7497643912.01589
 , , 19, 7497643912.01589
 , , 20, 7497643912.01589
 , , 21, 7497643912.01589
 , , 22, 7497643912.01589
 , , 23, 7497643912.01589
 , , 24, 7497643912.01589
500, 15, , 
 , , 0, 7497643912.01589
 , , 1, 7497643912.01589
 , , 2, 7497643912.01589
 , , 3, 7497643912.01589
 , , 4, 7497643912.01589
 , , 5, 7497643912.01589
 , , 6, 7497643912.01589
 , , 7, 7497643912.01589
 , , 8, 7497643912.01589
 , , 9, 7497643912.01589
 , , 10, 7497643912.01589
 , , 11, 7497643912.01589
 , , 12, 7497643912.01589
 , , 13, 7497643912.01589
 , , 14, 7497643912.01589
 , , 15, 7497643912.01589
 , , 16, 7497643912.01589
 , , 17, 7497643912.01589
 , , 18, 7497643912.01589
 , , 19, 7497643912.01589
 , , 20, 7497643912.01589
 , , 21, 7497643912.01589
 , , 22, 7497643912.01589
 , , 23, 7497643912.01589
 , , 24, 7497643912.01589
500, 20, , 
 , , 0, 7497643912.01589
 , , 1, 7497643912.01589
 , , 2, 7497643912.01589
 , , 3, 7497643912.01589
 , , 4, 7497643912.01589
 , , 5, 7497643912.01589
 , , 6, 7497643912.01589
 , , 7, 7497643912.01589
 , , 8, 7497643912.01589
 , , 9, 7497643912.01589
 , , 10, 7497643912.01589
 , , 11, 7497643912.01589
 , , 12, 7497643912.01589
 , , 13, 7497643912.01589
 , , 14, 7497643912.01589
 , , 15, 7497643912.01589
 , , 16, 7497643912.01589
 , , 17, 7497643912.01589
 , , 18, 7497643912.01589
 , , 19, 7497643912.01589
 , , 20, 7497643912.01589
 , , 21, 7497643912.01589
 , , 22, 7497643912.01589
 , , 23, 7497643912.01589
 , , 24, 7497643912.01589
50, 10, , 
 , , 0, 12063079889.919703
 , , 1, 12063079889.919703
 , , 2, 12063079889.919703
 , , 3, 12063079889.919703
 , , 4, 12063079889.919703
 , , 5, 12063079889.919703
 , , 6, 12063079889.919703
 , , 7, 12063079889.919703
 , , 8, 12063079889.919703
 , , 9, 12063079889.919703
 , , 10, 12063079889.919703
 , , 11, 12063079889.919703
 , , 12, 12063079889.919703
 , , 13, 12063079889.919703
 , , 14, 12063079889.919703
 , , 15, 12063079889.919703
 , , 16, 12063079889.919703
 , , 17, 12063079889.919703
 , , 18, 12063079889.919703
 , , 19, 12063079889.919703
 , , 20, 12063079889.919703
 , , 21, 12063079889.919703
 , , 22, 12063079889.919703
 , , 23, 12063079889.919703
 , , 24, 12063079889.919703
50, 15, , 
 , , 0, 12063079889.919703
 , , 1, 12063079889.919703
 , , 2, 12063079889.919703
 , , 3, 12063079889.919703
 , , 4, 12063079889.919703
 , , 5, 12063079889.919703
 , , 6, 12063079889.919703
 , , 7, 12063079889.919703
 , , 8, 12063079889.919703
 , , 9, 12063079889.919703
 , , 10, 12063079889.919703
 , , 11, 12063079889.919703
 , , 12, 12063079889.919703
 , , 13, 12063079889.919703
 , , 14, 12063079889.919703
 , , 15, 12063079889.919703
 , , 16, 12063079889.919703
 , , 17, 12063079889.919703
 , , 18, 12063079889.919703
 , , 19, 12063079889.919703
 , , 20, 12063079889.919703
 , , 21, 12063079889.919703
 , , 22, 12063079889.919703
 , , 23, 12063079889.919703
 , , 24, 12063079889.919703
50, 20, , 
 , , 0, 12063079889.919703
 , , 1, 12063079889.919703
 , , 2, 12063079889.919703
 , , 3, 12063079889.919703
 , , 4, 12063079889.919703
 , , 5, 12063079889.919703
 , , 6, 12063079889.919703
 , , 7, 12063079889.919703
 , , 8, 12063079889.919703
 , , 9, 12063079889.919703
 , , 10, 12063079889.919703
 , , 11, 12063079889.919703
 , , 12, 12063079889.919703
 , , 13, 12063079889.919703
 , , 14, 12063079889.919703
 , , 15, 12063079889.919703
 , , 16, 12063079889.919703
 , , 17, 12063079889.919703
 , , 18, 12063079889.919703
 , , 19, 12063079889.919703
 , , 20, 12063079889.919703
 , , 21, 12063079889.919703
 , , 22, 12063079889.919703
 , , 23, 12063079889.919703
 , , 24, 12063079889.919703
100, 10, , 
 , , 0, 12063079889.919703
 , , 1, 12063079889.919703
 , , 2, 12063079889.919703
 , , 3, 12063079889.919703
 , , 4, 12063079889.919703
 , , 5, 12063079889.919703
 , , 6, 12063079889.919703
 , , 7, 12063079889.919703
 , , 8, 12063079889.919703
 , , 9, 12063079889.919703
 , , 10, 12063079889.919703
 , , 11, 12063079889.919703
 , , 12, 12063079889.919703
 , , 13, 12063079889.919703
 , , 14, 12063079889.919703
 , , 15, 12063079889.919703
 , , 16, 12063079889.919703
 , , 17, 12063079889.919703
 , , 18, 12063079889.919703
 , , 19, 12063079889.919703
 , , 20, 12063079889.919703
 , , 21, 12063079889.919703
 , , 22, 12063079889.919703
 , , 23, 12063079889.919703
 , , 24, 12063079889.919703
100, 15, , 
 , , 0, 12063079889.919703
 , , 1, 12063079889.919703
 , , 2, 12063079889.919703
 , , 3, 12063079889.919703
 , , 4, 12063079889.919703
 , , 5, 12063079889.919703
 , , 6, 12063079889.919703
 , , 7, 12063079889.919703
 , , 8, 12063079889.919703
 , , 9, 12063079889.919703
 , , 10, 12063079889.919703
 , , 11, 12063079889.919703
 , , 12, 12063079889.919703
 , , 13, 12063079889.919703
 , , 14, 12063079889.919703
 , , 15, 12063079889.919703
 , , 16, 12063079889.919703
 , , 17, 12063079889.919703
 , , 18, 12063079889.919703
 , , 19, 12063079889.919703
 , , 20, 12063079889.919703
 , , 21, 12063079889.919703
 , , 22, 12063079889.919703
 , , 23, 12063079889.919703
 , , 24, 12063079889.919703
100, 20, , 
 , , 0, 12063079889.919703
 , , 1, 12063079889.919703
 , , 2, 12063079889.919703
 , , 3, 12063079889.919703
 , , 4, 12063079889.919703
 , , 5, 12063079889.919703
 , , 6, 12063079889.919703
 , , 7, 12063079889.919703
 , , 8, 12063079889.919703
 , , 9, 12063079889.919703
 , , 10, 12063079889.919703
 , , 11, 12063079889.919703
 , , 12, 12063079889.919703
 , , 13, 12063079889.919703
 , , 14, 12063079889.919703
 , , 15, 12063079889.919703
 , , 16, 12063079889.919703
 , , 17, 12063079889.919703
 , , 18, 12063079889.919703
 , , 19, 12063079889.919703
 , , 20, 12063079889.919703
 , , 21, 12063079889.919703
 , , 22, 12063079889.919703
 , , 23, 12063079889.919703
 , , 24, 12063079889.919703
300, 10, , 
 , , 0, 12063079889.919703
 , , 1, 12063079889.919703
 , , 2, 12063079889.919703
 , , 3, 12063079889.919703
 , , 4, 12063079889.919703
 , , 5, 12063079889.919703
 , , 6, 12063079889.919703
 , , 7, 12063079889.919703
 , , 8, 12063079889.919703
 , , 9, 12063079889.919703
 , , 10, 12063079889.919703
 , , 11, 12063079889.919703
 , , 12, 12063079889.919703
 , , 13, 12063079889.919703
 , , 14, 12063079889.919703
 , , 15, 12063079889.919703
 , , 16, 12063079889.919703
 , , 17, 12063079889.919703
 , , 18, 12063079889.919703
 , , 19, 12063079889.919703
 , , 20, 12063079889.919703
 , , 21, 12063079889.919703
 , , 22, 12063079889.919703
 , , 23, 12063079889.919703
 , , 24, 12063079889.919703
300, 15, , 
 , , 0, 12063079889.919703
 , , 1, 12063079889.919703
 , , 2, 12063079889.919703
 , , 3, 12063079889.919703
 , , 4, 12063079889.919703
 , , 5, 12063079889.919703
 , , 6, 12063079889.919703
 , , 7, 12063079889.919703
 , , 8, 12063079889.919703
 , , 9, 12063079889.919703
 , , 10, 12063079889.919703
 , , 11, 12063079889.919703
 , , 12, 12063079889.919703
 , , 13, 12063079889.919703
 , , 14, 12063079889.919703
 , , 15, 12063079889.919703
 , , 16, 12063079889.919703
 , , 17, 12063079889.919703
 , , 18, 12063079889.919703
 , , 19, 12063079889.919703
 , , 20, 12063079889.919703
 , , 21, 12063079889.919703
 , , 22, 12063079889.919703
 , , 23, 12063079889.919703
 , , 24, 12063079889.919703
300, 20, , 
 , , 0, 12063079889.919703
 , , 1, 12063079889.919703
 , , 2, 12063079889.919703
 , , 3, 12063079889.919703
 , , 4, 12063079889.919703
 , , 5, 12063079889.919703
 , , 6, 12063079889.919703
 , , 7, 12063079889.919703
 , , 8, 12063079889.919703
 , , 9, 12063079889.919703
 , , 10, 12063079889.919703
 , , 11, 12063079889.919703
 , , 12, 12063079889.919703
 , , 13, 12063079889.919703
 , , 14, 12063079889.919703
 , , 15, 12063079889.919703
 , , 16, 12063079889.919703
 , , 17, 12063079889.919703
 , , 18, 12063079889.919703
 , , 19, 12063079889.919703
 , , 20, 12063079889.919703
 , , 21, 12063079889.919703
 , , 22, 12063079889.919703
 , , 23, 12063079889.919703
 , , 24, 12063079889.919703
500, 10, , 
 , , 0, 12063079889.919703
 , , 1, 12063079889.919703
 , , 2, 12063079889.919703
 , , 3, 12063079889.919703
 , , 4, 12063079889.919703
 , , 5, 12063079889.919703
 , , 6, 12063079889.919703
 , , 7, 12063079889.919703
 , , 8, 12063079889.919703
 , , 9, 12063079889.919703
 , , 10, 12063079889.919703
 , , 11, 12063079889.919703
 , , 12, 12063079889.919703
 , , 13, 12063079889.919703
 , , 14, 12063079889.919703
 , , 15, 12063079889.919703
 , , 16, 12063079889.919703
 , , 17, 12063079889.919703
 , , 18, 12063079889.919703
 , , 19, 12063079889.919703
 , , 20, 12063079889.919703
 , , 21, 12063079889.919703
 , , 22, 12063079889.919703
 , , 23, 12063079889.919703
 , , 24, 12063079889.919703
500, 15, , 
 , , 0, 12063079889.919703
 , , 1, 12063079889.919703
 , , 2, 12063079889.919703
 , , 3, 12063079889.919703
 , , 4, 12063079889.919703
 , , 5, 12063079889.919703
 , , 6, 12063079889.919703
 , , 7, 12063079889.919703
 , , 8, 12063079889.919703
 , , 9, 12063079889.919703
 , , 10, 12063079889.919703
 , , 11, 12063079889.919703
 , , 12, 12063079889.919703
 , , 13, 12063079889.919703
 , , 14, 12063079889.919703
 , , 15, 12063079889.919703
 , , 16, 12063079889.919703
 , , 17, 12063079889.919703
 , , 18, 12063079889.919703
 , , 19, 12063079889.919703
 , , 20, 12063079889.919703
 , , 21, 12063079889.919703
 , , 22, 12063079889.919703
 , , 23, 12063079889.919703
 , , 24, 12063079889.919703
500, 20, , 
 , , 0, 12063079889.919703
 , , 1, 12063079889.919703
 , , 2, 12063079889.919703
 , , 3, 12063079889.919703
 , , 4, 12063079889.919703
 , , 5, 12063079889.919703
 , , 6, 12063079889.919703
 , , 7, 12063079889.919703
 , , 8, 12063079889.919703
 , , 9, 12063079889.919703
 , , 10, 12063079889.919703
 , , 11, 12063079889.919703
 , , 12, 12063079889.919703
 , , 13, 12063079889.919703
 , , 14, 12063079889.919703
 , , 15, 12063079889.919703
 , , 16, 12063079889.919703
 , , 17, 12063079889.919703
 , , 18, 12063079889.919703
 , , 19, 12063079889.919703
 , , 20, 12063079889.919703
 , , 21, 12063079889.919703
 , , 22, 12063079889.919703
 , , 23, 12063079889.919703
 , , 24, 12063079889.919703
50, 10, , 
 , , 0, 9075840644.585796
 , , 1, 9075840644.585796
 , , 2, 9075840644.585796
 , , 3, 9075840644.585796
 , , 4, 9075840644.585796
 , , 5, 9075840644.585796
 , , 6, 9075840644.585796
 , , 7, 9075840644.585796
 , , 8, 9075840644.585796
 , , 9, 9075840644.585796
 , , 10, 9075840644.585796
 , , 11, 9075840644.585796
 , , 12, 9075840644.585796
 , , 13, 9075840644.585796
 , , 14, 9075840644.585796
 , , 15, 9075840644.585796
 , , 16, 9075840644.585796
 , , 17, 9075840644.585796
 , , 18, 9075840644.585796
 , , 19, 9075840644.585796
 , , 20, 9075840644.585796
 , , 21, 9075840644.585796
 , , 22, 9075840644.585796
 , , 23, 9075840644.585796
 , , 24, 9075840644.585796
50, 15, , 
 , , 0, 9075840644.585796
 , , 1, 9075840644.585796
 , , 2, 9075840644.585796
 , , 3, 9075840644.585796
 , , 4, 9075840644.585796
 , , 5, 9075840644.585796
 , , 6, 9075840644.585796
 , , 7, 9075840644.585796
 , , 8, 9075840644.585796
 , , 9, 9075840644.585796
 , , 10, 9075840644.585796
 , , 11, 9075840644.585796
 , , 12, 9075840644.585796
 , , 13, 9075840644.585796
 , , 14, 9075840644.585796
 , , 15, 9075840644.585796
 , , 16, 9075840644.585796
 , , 17, 9075840644.585796
 , , 18, 9075840644.585796
 , , 19, 9075840644.585796
 , , 20, 9075840644.585796
 , , 21, 9075840644.585796
 , , 22, 9075840644.585796
 , , 23, 9075840644.585796
 , , 24, 9075840644.585796
50, 20, , 
 , , 0, 9075840644.585796
 , , 1, 9075840644.585796
 , , 2, 9075840644.585796
 , , 3, 9075840644.585796
 , , 4, 9075840644.585796
 , , 5, 9075840644.585796
 , , 6, 9075840644.585796
 , , 7, 9075840644.585796
 , , 8, 9075840644.585796
 , , 9, 9075840644.585796
 , , 10, 9075840644.585796
 , , 11, 9075840644.585796
 , , 12, 9075840644.585796
 , , 13, 9075840644.585796
 , , 14, 9075840644.585796
 , , 15, 9075840644.585796
 , , 16, 9075840644.585796
 , , 17, 9075840644.585796
 , , 18, 9075840644.585796
 , , 19, 9075840644.585796
 , , 20, 9075840644.585796
 , , 21, 9075840644.585796
 , , 22, 9075840644.585796
 , , 23, 9075840644.585796
 , , 24, 9075840644.585796
100, 10, , 
 , , 0, 9075840644.585796
 , , 1, 9075840644.585796
 , , 2, 9075840644.585796
 , , 3, 9075840644.585796
 , , 4, 9075840644.585796
 , , 5, 9075840644.585796
 , , 6, 9075840644.585796
 , , 7, 9075840644.585796
 , , 8, 9075840644.585796
 , , 9, 9075840644.585796
 , , 10, 9075840644.585796
 , , 11, 9075840644.585796
 , , 12, 9075840644.585796
 , , 13, 9075840644.585796
 , , 14, 9075840644.585796
 , , 15, 9075840644.585796
 , , 16, 9075840644.585796
 , , 17, 9075840644.585796
 , , 18, 9075840644.585796
 , , 19, 9075840644.585796
 , , 20, 9075840644.585796
 , , 21, 9075840644.585796
 , , 22, 9075840644.585796
 , , 23, 9075840644.585796
 , , 24, 9075840644.585796
100, 15, , 
 , , 0, 9075840644.585796
 , , 1, 9075840644.585796
 , , 2, 9075840644.585796
 , , 3, 9075840644.585796
 , , 4, 9075840644.585796
 , , 5, 9075840644.585796
 , , 6, 9075840644.585796
 , , 7, 9075840644.585796
 , , 8, 9075840644.585796
 , , 9, 9075840644.585796
 , , 10, 9075840644.585796
 , , 11, 9075840644.585796
 , , 12, 9075840644.585796
 , , 13, 9075840644.585796
 , , 14, 9075840644.585796
 , , 15, 9075840644.585796
 , , 16, 9075840644.585796
 , , 17, 9075840644.585796
 , , 18, 9075840644.585796
 , , 19, 9075840644.585796
 , , 20, 9075840644.585796
 , , 21, 9075840644.585796
 , , 22, 9075840644.585796
 , , 23, 9075840644.585796
 , , 24, 9075840644.585796
100, 20, , 
 , , 0, 9075840644.585796
 , , 1, 9075840644.585796
 , , 2, 9075840644.585796
 , , 3, 9075840644.585796
 , , 4, 9075840644.585796
 , , 5, 9075840644.585796
 , , 6, 9075840644.585796
 , , 7, 9075840644.585796
 , , 8, 9075840644.585796
 , , 9, 9075840644.585796
 , , 10, 9075840644.585796
 , , 11, 9075840644.585796
 , , 12, 9075840644.585796
 , , 13, 9075840644.585796
 , , 14, 9075840644.585796
 , , 15, 9075840644.585796
 , , 16, 9075840644.585796
 , , 17, 9075840644.585796
 , , 18, 9075840644.585796
 , , 19, 9075840644.585796
 , , 20, 9075840644.585796
 , , 21, 9075840644.585796
 , , 22, 9075840644.585796
 , , 23, 9075840644.585796
 , , 24, 9075840644.585796
300, 10, , 
 , , 0, 9075840644.585796
 , , 1, 9075840644.585796
 , , 2, 9075840644.585796
 , , 3, 9075840644.585796
 , , 4, 9075840644.585796
 , , 5, 9075840644.585796
 , , 6, 9075840644.585796
 , , 7, 9075840644.585796
 , , 8, 9075840644.585796
 , , 9, 9075840644.585796
 , , 10, 9075840644.585796
 , , 11, 9075840644.585796
 , , 12, 9075840644.585796
 , , 13, 9075840644.585796
 , , 14, 9075840644.585796
 , , 15, 9075840644.585796
 , , 16, 9075840644.585796
 , , 17, 9075840644.585796
 , , 18, 9075840644.585796
 , , 19, 9075840644.585796
 , , 20, 9075840644.585796
 , , 21, 9075840644.585796
 , , 22, 9075840644.585796
 , , 23, 9075840644.585796
 , , 24, 9075840644.585796
300, 15, , 
 , , 0, 9075840644.585796
 , , 1, 9075840644.585796
 , , 2, 9075840644.585796
 , , 3, 9075840644.585796
 , , 4, 9075840644.585796
 , , 5, 9075840644.585796
 , , 6, 9075840644.585796
 , , 7, 9075840644.585796
 , , 8, 9075840644.585796
 , , 9, 9075840644.585796
 , , 10, 9075840644.585796
 , , 11, 9075840644.585796
 , , 12, 9075840644.585796
 , , 13, 9075840644.585796
 , , 14, 9075840644.585796
 , , 15, 9075840644.585796
 , , 16, 9075840644.585796
 , , 17, 9075840644.585796
 , , 18, 9075840644.585796
 , , 19, 9075840644.585796
 , , 20, 9075840644.585796
 , , 21, 9075840644.585796
 , , 22, 9075840644.585796
 , , 23, 9075840644.585796
 , , 24, 9075840644.585796
300, 20, , 
 , , 0, 9075840644.585796
 , , 1, 9075840644.585796
 , , 2, 9075840644.585796
 , , 3, 9075840644.585796
 , , 4, 9075840644.585796
 , , 5, 9075840644.585796
 , , 6, 9075840644.585796
 , , 7, 9075840644.585796
 , , 8, 9075840644.585796
 , , 9, 9075840644.585796
 , , 10, 9075840644.585796
 , , 11, 9075840644.585796
 , , 12, 9075840644.585796
 , , 13, 9075840644.585796
 , , 14, 9075840644.585796
 , , 15, 9075840644.585796
 , , 16, 9075840644.585796
 , , 17, 9075840644.585796
 , , 18, 9075840644.585796
 , , 19, 9075840644.585796
 , , 20, 9075840644.585796
 , , 21, 9075840644.585796
 , , 22, 9075840644.585796
 , , 23, 9075840644.585796
 , , 24, 9075840644.585796
500, 10, , 
 , , 0, 9075840644.585796
 , , 1, 9075840644.585796
 , , 2, 9075840644.585796
 , , 3, 9075840644.585796
 , , 4, 9075840644.585796
 , , 5, 9075840644.585796
 , , 6, 9075840644.585796
 , , 7, 9075840644.585796
 , , 8, 9075840644.585796
 , , 9, 9075840644.585796
 , , 10, 9075840644.585796
 , , 11, 9075840644.585796
 , , 12, 9075840644.585796
 , , 13, 9075840644.585796
 , , 14, 9075840644.585796
 , , 15, 9075840644.585796
 , , 16, 9075840644.585796
 , , 17, 9075840644.585796
 , , 18, 9075840644.585796
 , , 19, 9075840644.585796
 , , 20, 9075840644.585796
 , , 21, 9075840644.585796
 , , 22, 9075840644.585796
 , , 23, 9075840644.585796
 , , 24, 9075840644.585796
500, 15, , 
 , , 0, 9075840644.585796
 , , 1, 9075840644.585796
 , , 2, 9075840644.585796
 , , 3, 9075840644.585796
 , , 4, 9075840644.585796
 , , 5, 9075840644.585796
 , , 6, 9075840644.585796
 , , 7, 9075840644.585796
 , , 8, 9075840644.585796
 , , 9, 9075840644.585796
 , , 10, 9075840644.585796
 , , 11, 9075840644.585796
 , , 12, 9075840644.585796
 , , 13, 9075840644.585796
 , , 14, 9075840644.585796
 , , 15, 9075840644.585796
 , , 16, 9075840644.585796
 , , 17, 9075840644.585796
 , , 18, 9075840644.585796
 , , 19, 9075840644.585796
 , , 20, 9075840644.585796
 , , 21, 9075840644.585796
 , , 22, 9075840644.585796
 , , 23, 9075840644.585796
 , , 24, 9075840644.585796
500, 20, , 
 , , 0, 9075840644.585796
 , , 1, 9075840644.585796
 , , 2, 9075840644.585796
 , , 3, 9075840644.585796
 , , 4, 9075840644.585796
 , , 5, 9075840644.585796
 , , 6, 9075840644.585796
 , , 7, 9075840644.585796
 , , 8, 9075840644.585796
 , , 9, 9075840644.585796
 , , 10, 9075840644.585796
 , , 11, 9075840644.585796
 , , 12, 9075840644.585796
 , , 13, 9075840644.585796
 , , 14, 9075840644.585796
 , , 15, 9075840644.585796
 , , 16, 9075840644.585796
 , , 17, 9075840644.585796
 , , 18, 9075840644.585796
 , , 19, 9075840644.585796
 , , 20, 9075840644.585796
 , , 21, 9075840644.585796
 , , 22, 9075840644.585796
 , , 23, 9075840644.585796
 , , 24, 9075840644.585796
PSO,DG,ODG,MEET,Rand 5,Rand 50,Rand 100,Rand 200,Rand 500,Rand 1000,Rand 2000,Rand 5000,Rand 10000,Rand 20000
